"Buckaroo payment methods","Buckaroo betaalmethoden"
"Buckaroo Payment Methods","Buckaroo betaalmethoden"
"iDEAL","iDEAL"
"Enable iDEAL","iDEAL inschakelen"
"Enable or disable this payment method.","Schakel de betaalmethode in of uit."
"Frontend label","Naam van de betaalmethode"
"Determines the frontend label shown.","De naam van de betaalmethode zoals deze in de checkout wordt getoond. Indien dit veld leeg is, dan wordt de Buckaroo default gebruikt."
"Frontend sort order","Volgorde betaalmethoden"
"Consumer Financial Warning","Financiële Waarschuwing"
"Due to the regulations for BNPL methods in The Netherlands you’ll  have to warn customers about using a BNPL plan because it can be easy to get into debt. When enabled a warning will be showed in the checkout. Please note that this setting only applies for customers in The Netherlands.","Vanwege de voorschriften voor achteraf betaalmethoden in Nederland dient u klanten te waarschuwen voor het gebruik van een achteraf betaalmethode omdat het gemakkelijk kan leiden tot schulden. Wanneer deze functie is ingeschakeld, wordt er een waarschuwing weergegeven tijdens het afrekenen. Let op dat deze instelling alleen van toepassing is op klanten in Nederland."
"Determines the sorting of payment methods.","Pas de volgorde van de betaalmethoden aan zoals deze in de checkout worden weergegeven."
"Advanced Configuration","Geavanceerde opties"
"Send order confirmation email","Verstuur order bevestigingsmail"
"Enable to send an order confirmation email to the customer when the creating of the order is successful. Specific for this payment method.","Activeer om een order bevestigings email te versturen wanneer de order is aangemaakt. Specifiek voor deze betaalmethode."
"Payment fee","Betaaltoeslag"
"The above amount is calculated based on de Tax settings in Buckaroo > Settings > Buckaroo Payment Fee Tax Class.","Dit bedrag wordt berekend op basis van de BTW instellingen in Buckaroo > Settings > Buckaroo Payment Fee Tax Class."
"Payment fee frontend label","Betaaltoeslag label aan de voorkant"
"This label will be displayed next to the fee on the checkout, order, invoice and creditmemo pages and pdfs.","Het label wordt getoond naast de betaaltoeslag tijdens de checkout en op de order, invoice, creditmemo pagina's en PDF."
"Max order amount (in Base Currency)","Max. order bedrag (in standaard valuta)"
"Maximum order amount allowed.","De betaalmethode wordt niet getoond boven max. bedrag."
"The payment method shows only for orders with an order amount smaller than the maximum amount.","De betaalmethode wordt alleen getoond bij orders met een totaal onder de maximale orderwaarde."
"Min order amount (in Base Currency)","Min. order bedrag (in standaard valuta)"
"Minimum order amount allowed.","De betaalmethode wordt niet getoond onder min. bedrag"
"The payment method shows only for orders with an order amount greater than the minimum amount.","De betaalmethode wordt alleen getoond bij orders met een totaal boven de minimale orderwaarde."
"Method specific status enabled","Methode specifieke status ingeschakeld"
"Enable or disable specific status.","Schakel specifieke status in of uit."
"Method specific success status","Methodespecifieke 'succes' status"
"Leave empty to use default 'success' status.","Laat de selectie leeg voor de standaard 'succes' status."
"Method specific failed status","Methodespecifieke 'gefaald' status"
"Leave empty to use default 'failed' status.","Laat de selectie leeg voor de standaard 'gefaald' status."
"To make a new status available it needs to be assigned to the correct state. See Magento documentation about state and status.","Voor het toewijzen van een status moet deze aan de juiste staat zijn toegekend. Raadpleeg Magento documentatie voor 'status' en 'state'."
"Allowed currencies","Geaccepteerde valuta"
"Select payment method specific currencies.","Selecteer specifieke valuta voor de betaalmethode."
"Your contract with Buckaroo must allow for the selected currencies to be used with this payment method.","De beschikbare valuta is afhankelijk van het contract met Buckaroo."
"Payment from applicable countries","Land toegestaan voor betaling"
"Payment from Specific Country","Betaling van specifieke landen"
"Only available when set to 'specific countries'.","Alleen beschikbaar bij de selectie 'specifieke landen'."
"Display only for selected IPs","Toon alleen voor specifieke IP's"
"Show method only to Magento set IPs.","Toon alleen voor specifieke IP's ingesteld bij Magento."
"Magento developer client restrictions.","Toon deze betaalmethode alleen aan geselecteerde Magento IPs. Deze optie is voor ontwikkelaars wanneer u een specifieke betaalmethode wilt testen zonder dat deze publiekelijk wordt getoond."
"Credit and debit cards","Credit and debit cards"
"Enable credit and debit cards","Credit- en debit cards"
"Allowed credit and debit cards","Geaccepteerde credit- en debit cards"
"Select payment method specific Credit and debit card.","Selecteer specifieke credit- en debit cards voor de betaalmethode."
"American Express Specific","American Express Specifiek"
"Verify address","Adresvalidatie"
"Set true to verify the address at American Express. Set false to disable address verification","Zet op 'ja' om het adres bij American Express te veriferen. Zet op 'nee' om het adresverificatie uit te schakelen."
"Maestro Specific","Maestro Specifiek"
"Mastercard Specific","Mastercard Specifiek"
"No SecureCode order status","Orderstatus voor niet SecureCode orders"
"Set no SecureCode orders onhold","Plaats niet SecureCode orders 'onhold'"
