"Buckaroo payment methods","Metodi di pagamento Buckaroo"
"The CVC/CVV code is a 3 or 4-digit security code on your credit card.","Il codice CVC/CVV è un codice di sicurezza di 3 o 4 cifre sulla tua carta di credito."
"Buckaroo Payment Methods","Metodi di pagamento Buckaroo"
"iDEAL | Wero","iDEAL | Wero"
"Enable iDEAL | Wero","Abilita iDEAL | Wero"
"Enable or disable this payment method.","Abilita o disabilita questo metodo di pagamento."
"Title","Titolo"
"The payment method name shown during checkout. If empty, the default title is used.","Il nome del metodo di pagamento mostrato durante il checkout. Se questo campo è vuoto, viene utilizzato il titolo predefinito."
"Display Subtext","Mostra sottotesto"
"Enable or disable subtext display during checkout.","Abilita o disabilita la visualizzazione del sottotesto durante il checkout."
"Subtext Content","Contenuto del sottotesto"
"This controls the description which the user sees during checkout.","Puoi anche impostare una descrizione aggiuntiva del metodo di pagamento che viene mostrata sotto il nome del metodo di pagamento, ad esempio 'Paga dopo'."
"Subtext Style","Stile del carattere del sottotesto"
"Choose a font style for the subtext.","Scegli uno stile di carattere per far risaltare la descrizione, oppure usa il valore predefinito 'Regular'."
"Subtext Color","Colore del carattere del sottotesto"
"Choose a font color for the subtext.","Adatta il colore del testo della descrizione per farlo risaltare meglio."
"Sort Order","Ordine dei metodi di pagamento"
"Determines the sorting of payment methods.","Modifica l'ordine dei metodi di pagamento così come vengono mostrati nel checkout."
"Payment Flow","Flusso di pagamento"
"Whether to use separate authorize and capture calls or to use a combined 'pay' call.","Se effettuare chiamate separate di autorizzazione e cattura oppure utilizzare una chiamata combinata 'pay'."
"Method Specific Configuration","Configurazione specifica del metodo"
"Consumer Financial Warning","Avviso finanziario per il consumatore"
"Due to the regulations for BNPL methods in The Netherlands you'll  have to warn customers about using a BNPL plan because it can be easy to get into debt. When enabled a warning will be showed in the checkout. Please note that this setting only applies for customers in The Netherlands.","A causa delle normative sui metodi BNPL nei Paesi Bassi, è necessario avvisare i clienti sull'utilizzo di un piano BNPL perché può facilmente portare a debiti. Quando questa funzione è abilitata, verrà mostrato un avviso durante il checkout. Tieni presente che questa impostazione si applica solo ai clienti nei Paesi Bassi."
"Advanced Configuration","Configurazione avanzata"
"Send Order Confirmation Email","Invia e-mail di conferma ordine"
"Enable to send an order confirmation email to the customer when the creating of the order is successful. Specific for this payment method.","Attiva per inviare un'e-mail di conferma ordine al cliente quando la creazione dell'ordine ha avuto successo. Specifico per questo metodo di pagamento."
"Payment Fee","Commissione di pagamento"
"The above amount is calculated based on de Tax settings in Buckaroo > Settings > Buckaroo Payment Fee Tax Class.","L'importo sopra indicato viene calcolato in base alle impostazioni fiscali in Buckaroo > Settings > Buckaroo Payment Fee Tax Class."
"Payment Fee Frontend Label","Etichetta frontend della commissione di pagamento"
"This label will be displayed next to the fee on the checkout, order, invoice and creditmemo pages and pdfs.","Questa etichetta verrà mostrata accanto alla commissione nelle pagine di checkout, ordine, fattura e nota di credito e nei PDF."
"Max Order Amount","Importo massimo ordine"
"Maximum order amount allowed.","Il metodo di pagamento non viene mostrato sopra l'importo massimo."
"The payment method shows only for orders with an order amount smaller than the maximum amount.","Il metodo di pagamento viene mostrato solo per ordini con un importo totale inferiore al valore massimo."
"Min Order Amount","Importo minimo ordine"
"Minimum order amount allowed.","Il metodo di pagamento non viene mostrato sotto l'importo minimo."
"The payment method shows only for orders with an order amount greater than the minimum amount.","Il metodo di pagamento viene mostrato solo per ordini con un importo totale superiore al valore minimo."
"Method Specific Status Enabled","Stato specifico del metodo abilitato"
"Enable or disable specific status.","Abilita o disabilita lo stato specifico."
"Method Specific Success Status","Stato 'successo' specifico del metodo"
"Leave empty to use default 'success' status.","Lascia vuoto per utilizzare lo stato predefinito 'success'."
"Method Specific Failed Status","Stato 'fallito' specifico del metodo"
"Leave empty to use default 'failed' status.","Lascia vuoto per utilizzare lo stato predefinito 'failed'."
"To make a new status available it needs to be assigned to the correct state. See Magento documentation about state and status.","Per rendere disponibile un nuovo stato, deve essere assegnato allo stato corretto. Consulta la documentazione Magento su state e status."
"Allowed Currencies","Valute consentite"
"Select payment method specific currencies.","Seleziona le valute specifiche per il metodo di pagamento."
"Your contract with Buckaroo must allow for the selected currencies to be used with this payment method.","Il tuo contratto con Buckaroo deve consentire l'utilizzo delle valute selezionate con questo metodo di pagamento."
"Allowed Countries","Paesi consentiti"
